heroId,chain
1000000012121,dfkchain
1000000012130,dfkchain
1000000012132,dfkchain
1000000012184,dfkchain
1000000012200,dfkchain
1000000012242,dfkchain
1000000012244,dfkchain
1000000012267,dfkchain
1000000012354,dfkchain
1000000012377,dfkchain
1000000012397,kaia
1000000012401,kaia
1000000012418,dfkchain
1000000012469,dfkchain
1000000012545,dfkchain
1000000012552,dfkchain
1000000012556,dfkchain
1000000012581,dfkchain
1000000012583,dfkchain
1000000012633,dfkchain
1000000012635,dfkchain
1000000012656,dfkchain
1000000012744,dfkchain
1000000012747,dfkchain
1000000012748,dfkchain
1000000012777,dfkchain
1000000012784,dfkchain
1000000012804,dfkchain
1000000012858,dfkchain
1000000012881,dfkchain
1000000012897,kaia
1000000012940,dfkchain
1000000012990,dfkchain
1000000012995,dfkchain
1000000013008,dfkchain
1000000013080,dfkchain
1000000013095,dfkchain
1000000013096,dfkchain
1000000013098,dfkchain
1000000013112,dfkchain
1000000013115,dfkchain
1000000013118,dfkchain
1000000013133,dfkchain
1000000013220,dfkchain
1000000013226,kaia
1000000013267,dfkchain
1000000013320,dfkchain
1000000013354,dfkchain
1000000013414,dfkchain
1000000013443,dfkchain
1000000013506,dfkchain
1000000013518,dfkchain
1000000013527,dfkchain
1000000013602,dfkchain
1000000013641,kaia
1000000013685,dfkchain
1000000013693,dfkchain
1000000013698,dfkchain
1000000013747,dfkchain
1000000013749,dfkchain
1000000013753,dfkchain
1000000013769,dfkchain
1000000013792,kaia
1000000013808,dfkchain
1000000013853,dfkchain
1000000013861,dfkchain
1000000013865,dfkchain
1000000013902,dfkchain
1000000013926,dfkchain
1000000013934,dfkchain
1000000013963,kaia
1000000014021,dfkchain
1000000014050,dfkchain
1000000014051,dfkchain
1000000014107,dfkchain
1000000014145,kaia
1000000014172,dfkchain
1000000014201,dfkchain
1000000014227,dfkchain
1000000014231,dfkchain
1000000014233,dfkchain
1000000014289,dfkchain
1000000014306,kaia
1000000014361,dfkchain
1000000014430,dfkchain
1000000014465,dfkchain
1000000014492,dfkchain
1000000014518,dfkchain
1000000014523,dfkchain
1000000014566,dfkchain
1000000014573,dfkchain
1000000014588,dfkchain
1000000014691,dfkchain
1000000014699,dfkchain
1000000014711,kaia
1000000014720,dfkchain
1000000014752,dfkchain
1000000014814,dfkchain
1000000014902,kaia
1000000015030,dfkchain
1000000015062,dfkchain
1000000015065,dfkchain
1000000015191,dfkchain
1000000015236,dfkchain
1000000015241,dfkchain
1000000015260,dfkchain
1000000015289,kaia
1000000015328,dfkchain
1000000015440,dfkchain
1000000015446,dfkchain
1000000015448,dfkchain
1000000015454,dfkchain
1000000015455,dfkchain
1000000015577,dfkchain
1000000015609,dfkchain
1000000015644,dfkchain
1000000015674,dfkchain
1000000015685,kaia
1000000015720,dfkchain
1000000015740,dfkchain
1000000015741,dfkchain
1000000015771,dfkchain
1000000015792,kaia
1000000015802,dfkchain
1000000015854,dfkchain
1000000015884,kaia
1000000015997,dfkchain
1000000015999,dfkchain
1000000016004,dfkchain
1000000016005,dfkchain
1000000016017,dfkchain
1000000016027,dfkchain
1000000016032,dfkchain
1000000016061,dfkchain
1000000016070,dfkchain
1000000016071,dfkchain
1000000016106,dfkchain
1000000016159,kaia
1000000016168,dfkchain
1000000016172,dfkchain
1000000016191,dfkchain
1000000016200,dfkchain
1000000016239,dfkchain
1000000016241,dfkchain
1000000016251,dfkchain
1000000016330,dfkchain
1000000016335,dfkchain
1000000016369,dfkchain
1000000016385,dfkchain
1000000016394,dfkchain
1000000016410,dfkchain
1000000016465,dfkchain
1000000016560,kaia
1000000016609,dfkchain
1000000016632,dfkchain
1000000016668,dfkchain
1000000016700,dfkchain
1000000016758,dfkchain
1000000016773,kaia
1000000016846,dfkchain
1000000016850,kaia
1000000016960,dfkchain
1000000016999,dfkchain
1000000017000,dfkchain
1000000017005,dfkchain
1000000017014,dfkchain
1000000017023,dfkchain
1000000017051,dfkchain
1000000017053,dfkchain
1000000017087,kaia
1000000017144,dfkchain
1000000017184,dfkchain
1000000017301,kaia
1000000017334,kaia
1000000017354,dfkchain
1000000017395,dfkchain
1000000017411,kaia
1000000017539,dfkchain
1000000017584,dfkchain
1000000017594,dfkchain
1000000017615,kaia
1000000017643,dfkchain
1000000017683,dfkchain
1000000017729,dfkchain
1000000017768,dfkchain
1000000017772,dfkchain
1000000017782,dfkchain
1000000017786,dfkchain
1000000017790,dfkchain
1000000017823,dfkchain
1000000017829,dfkchain
1000000017834,kaia
1000000017957,dfkchain
1000000017965,dfkchain
1000000018184,dfkchain
1000000018237,dfkchain
1000000018301,kaia
1000000018307,dfkchain
1000000018315,dfkchain
1000000018318,dfkchain
1000000018347,dfkchain
1000000018357,kaia
1000000018365,dfkchain
1000000018378,dfkchain
1000000018389,dfkchain
1000000018420,kaia
1000000018427,dfkchain
1000000018453,dfkchain
1000000018471,dfkchain
1000000018513,dfkchain
1000000018570,dfkchain
1000000018668,dfkchain
1000000018751,dfkchain
1000000018767,dfkchain
1000000018803,dfkchain
1000000018817,kaia
1000000018878,dfkchain
1000000018908,dfkchain
1000000018917,dfkchain
1000000018926,dfkchain
1000000018943,dfkchain
1000000018945,dfkchain
1000000018951,dfkchain
1000000018958,dfkchain
1000000018961,dfkchain
1000000018964,dfkchain
1000000018968,dfkchain
1000000019028,dfkchain
1000000019051,dfkchain
1000000019071,dfkchain
1000000019092,dfkchain
1000000019128,dfkchain
1000000019148,dfkchain
1000000019168,dfkchain
1000000019197,dfkchain
1000000019199,dfkchain
1000000019201,dfkchain
1000000019208,dfkchain
1000000019225,dfkchain
1000000019228,kaia
1000000019256,dfkchain
1000000019299,dfkchain
1000000019328,dfkchain
1000000019366,dfkchain
1000000019453,dfkchain
1000000019512,dfkchain
1000000019555,dfkchain
1000000019568,dfkchain
1000000019575,dfkchain
1000000019577,dfkchain
1000000019584,dfkchain
1000000019595,dfkchain
1000000019596,dfkchain
1000000019606,dfkchain
1000000019633,kaia
1000000019643,dfkchain
1000000019649,dfkchain
1000000019701,dfkchain
1000000019708,dfkchain
1000000019713,dfkchain
1000000019724,dfkchain
1000000019745,kaia
1000000019812,kaia
1000000019828,dfkchain
1000000019830,dfkchain
1000000019859,dfkchain
1000000019862,dfkchain
1000000019899,dfkchain
1000000019937,dfkchain
1000000020083,kaia
1000000020087,dfkchain
1000000020095,kaia
1000000020153,dfkchain
1000000020237,dfkchain
1000000020262,dfkchain
1000000020275,dfkchain
1000000020281,dfkchain
1000000020293,dfkchain
1000000020327,dfkchain
1000000020330,dfkchain
1000000020334,dfkchain
1000000020336,dfkchain
1000000020337,dfkchain
1000000020339,dfkchain
1000000020345,dfkchain
1000000020379,dfkchain
1000000020380,dfkchain
1000000020416,dfkchain
1000000020427,dfkchain
1000000020430,dfkchain
1000000020436,dfkchain
1000000020526,dfkchain
1000000020541,dfkchain
1000000020543,dfkchain
1000000020547,dfkchain
1000000020573,dfkchain
1000000020582,dfkchain
1000000020622,dfkchain
1000000020623,dfkchain
1000000020657,dfkchain
1000000020664,dfkchain
1000000020666,dfkchain
1000000020671,dfkchain
1000000020677,dfkchain
1000000020693,dfkchain
1000000020717,dfkchain
1000000020738,dfkchain
1000000020780,dfkchain
1000000020860,dfkchain
1000000020866,dfkchain
1000000020872,dfkchain
1000000020884,dfkchain
1000000020941,kaia
1000000021042,dfkchain
1000000021058,dfkchain
1000000021093,dfkchain
1000000021188,dfkchain
1000000021198,dfkchain
1000000021243,dfkchain
1000000021256,dfkchain
1000000021314,dfkchain
1000000021322,dfkchain
1000000021343,dfkchain
1000000021370,kaia
1000000021484,dfkchain
1000000021486,dfkchain
1000000021520,dfkchain
1000000021554,dfkchain
1000000021566,dfkchain
1000000021590,dfkchain
1000000021595,dfkchain
1000000021634,dfkchain
1000000021641,dfkchain
1000000021660,dfkchain
1000000021675,dfkchain
1000000021685,dfkchain
1000000021688,dfkchain
1000000021691,dfkchain
1000000021696,dfkchain
1000000021712,dfkchain
1000000021788,dfkchain
1000000021846,dfkchain
1000000021880,dfkchain
1000000021907,dfkchain
1000000021959,dfkchain
1000000021985,dfkchain
1000000021988,dfkchain
1000000022003,dfkchain
1000000022061,kaia
1000000022064,dfkchain
1000000022066,kaia
1000000022068,dfkchain
1000000022073,kaia
1000000022095,dfkchain
1000000022128,dfkchain
